ID,sources
AAB53710.1,AAA_ATPase_15-21_family.fasta
AAQW01000001.1_3210,GajA.faa
ABACVG020000001.1_1177,GajA.faa
ABIZ01000001.1_1809,GajA.faa
ABIZ01000001.1_6084,PtuA.faa
ABIZ01000001.1_939,PDC-M01A.faa
ABY44616.1,AAA_ATPase_15-21_family.fasta
ACU07552.1,hit_table_old_all.fasta
ADB39416.1,hit_table_NsnB_ECOR37_all.fasta
AE000511.1_1078,AbiL.faa
AE000511.1_1079,AbiL.faa
AE001439.1_357,AbiL.faa
AE001439.1_358,AbiL.faa
AE002098.2_808,PrrC.faa
AE003852.1_448,LmuB.faa
AE004439.1_289,PDC-M01A.faa
AE005174.2_285,LmuB.faa
AE007872.2_23,GajA.faa
AE008922.1_1604,LmuB.faa
AE008922.1_470,PrrC.faa
AE008922.1_533,Ppl.faa
AE008923.1_2222,PDC-M01A.faa
AE008923.1_2268,LmuB.faa
AE008923.1_3938,GajA.faa
AE008923.1_3944,PtuA.faa
AE009952.1_3011,LmuB.faa
AE014133.2_788,PrrC.faa
AE014295.3_934,AbiL.faa
AE014295.3_935,AbiL.faa
AE015451.2_3776,GajA.faa
AE015924.1_657,PtuA.faa
AE015924.1_70,AbiL.faa
AE015924.1_71,AbiL.faa
AE015924.1_740,LmuB.faa
AE015928.1_4651,LmuB.faa
AE015929.1_2085,Ppl.faa
AE016823.1_882,PrrC.faa
AE016830.1_3039,AbiL.faa
AE016830.1_3040,AbiL.faa
AE016853.1_3734,PDC-M01A.faa
AE016853.1_50,GajA.faa
AE016853.1_5190,PtuA.faa
AE017042.1_1049,LmuB.faa
AE017198.1_925,GajA.faa
AE017226.1_1522,GajA.faa
AE017282.2_2943,Ppl.faa
AE017283.1_1636,LmuB.faa
AE017283.1_867,GajA.faa
AE017285.1_1900,HEC-02.faa
AE017285.1_1901,HEC-02.faa
AELA02000026.1_2,HEC-04.faa
AEW77432.1,hit_table_old_all.fasta
AFXJ01000001.1_1997,GajA.faa
AFXJ01000001.1_2613,LmuB.faa
AFXJ01000001.1_3085,LmuB.faa
AFXJ01000001.1_584,PtuA.faa
AFXJ01000001.1_6210,PrrC.faa
AFXK01000001.1_2043,GajA.faa
AFXK01000001.1_2649,LmuB.faa
AFXK01000001.1_3111,LmuB.faa
AFXK01000001.1_586,PtuA.faa
AFXK01000001.1_6176,PrrC.faa
AGP60077.1,hit_table_JetC_ECOR67_from_1338_to_1445_all.fasta
AGS51984.1,hit_table_HEC-01A_ECOR46_all.fasta
AHCF03000003.1_669,GajA.faa
AIL06606.1,hit_table_old_all.fasta
AKBU01000002.1_68,GajA.faa
AKG42063.1,hit_table_JetC_ECOR67_from_1338_to_1445_all.fasta
AKGH01000001.1_101,LmuB.faa
AKO02645.1,hit_table_old_vibrio_all.fasta
AKVW01000002.1_790,GajA.faa
AKZ64658.1,hit_table_IbfA_all.fasta
AL157959.1_846,HEC-02.faa
AL157959.1_847,HEC-02.faa
AL590842.1_1081,LmuB.faa
AL591688.1_505,PtuA.faa
AL645882.2_3219,PtuA.faa
AL645882.2_3488,LmuB.faa
AL732656.1_1346,GajA.faa
AL954747.1_1410,AbiL.faa
AL954747.1_1411,AbiL.faa
AL954747.1_1942,HEC-03.faa
AL954747.1_1943,HEC-03.faa
AM039952.1_218,GajA.faa
AM039952.1_497,PrrC.faa
AM039952.1_60,HEC-04.faa
AM167904.1_369,GajA.faa
AM167904.1_545,PrrC.faa
AM180355.1_1931,GajA.faa
AM263198.1_1082,LmuB.faa
AM286415.1_967,LmuB.faa
AM398681.2_1161,PtuA.faa
AM398681.2_1192,GajA.faa
AM412317.1_2005,GajA.faa
AM743169.1_2330,GajA.faa
AM743169.1_27,GajA.faa
AM746676.1_1495,PtuA.faa
AM746676.1_3347,PtuA.faa
AM746676.1_7927,PtuA.faa
AM746676.1_8564,PtuA.faa
AM746676.1_8805,HEC-03.faa
AM746676.1_8806,HEC-03.faa
AM746676.1_9432,PtuA.faa
AM849034.1_2499,PDC-M01A.faa;PtuA.faa
AM902716.1_4340,GajA.faa
AM920689.1_2362,GajA.faa
AM920689.1_528,Ppl.faa
AM942759.1_2385,GajA.faa
AM942759.1_302,PtuA.faa
AM942759.1_924,PDC-M01A.faa;PtuA.faa
AP003602.1_187,PtuA.faa
AP006627.1_1455,GajA.faa
AP006725.1_496,GajA.faa
AP006725.1_497,GajA.faa
AP006841.1_1091,GajA.faa
AP006841.1_1697,PtuA.faa
AP006841.1_613,PtuA.faa
AP007255.1_1145,LmuB.faa
AP007281.1_1115,GajA.faa
AP008230.1_4976,GajA.faa
AP008230.1_741,PDC-M01A.faa;PtuA.faa
AP008955.1_717,PrrC.faa
AP008957.1_632,PDC-M01A.faa
AP008971.1_1444,LmuB.faa
AP008971.1_963,GajA.faa
AP009179.1_751,LmuB.faa
AP009179.1_756,LmuB.faa
AP009240.1_261,LmuB.faa
AP009256.1_17,LmuB.faa
AP009324.1_401,GajA.faa
AP009378.1_1144,LmuB.faa
AP009380.1_1919,AbiL.faa
AP009380.1_1920,AbiL.faa
AP009493.1_100,LmuB.faa
AP009493.1_7014,LmuB.faa
AP009510.1_687,AbiL.faa
AP009510.1_688,AbiL.faa
AP009552.1_1458,AbiL.faa
AP009552.1_1459,AbiL.faa
AP009552.1_2130,PtuA.faa
AP009552.1_3516,PtuA.faa
AP009552.1_4337,PtuA.faa
AP010803.1_3034,PtuA.faa
AP010803.1_383,GajA.faa
AP010888.1_35,LmuB.faa
AP010904.1_3494,Ppl.faa
AP010949.1_63,PtuA.faa
AP010968.1_4723,PtuA.faa
AP011541.2_4179,GajA.faa
AP011548.1_441,GajA.faa
AP011941.1_927,AbiL.faa
AP011941.1_928,AbiL.faa
AP011945.1_422,AbiL.faa
AP011945.1_423,AbiL.faa
AP012029.1_19,AbiL.faa
AP012029.1_20,AbiL.faa
AP012047.1_1547,GajA.faa
AP012048.1_1333,LmuB.faa
AP012048.1_232,PtuA.faa
AP012048.1_900,LmuB.faa
AP012053.1_308,LmuB.faa
AP012157.1_835,GajA.faa
AP012168.1_32,GajA.faa
AP012202.1_393,AbiL.faa
AP012202.1_394,AbiL.faa
AP012206.1_1936,LmuB.faa
AP012206.1_7649,GajA.faa
AP012209.1_389,AbiL.faa
AP012209.1_390,AbiL.faa
AP012211.1_832,LmuB.faa
AP012212.1_1005,AbiL.faa
